Frame,x,y
45,704,63
46,705,16
99,744,113
126,792,398
135,790,315
161,631,327
163,604,332
164,604,332
165,593,339
166,581,345
168,572,303
169,578,259
170,578,259
171,584,223
172,588,197
173,592,175
174,594,158
175,596,145
177,598,134
178,600,125
179,601,119
180,603,114
181,604,111
182,604,111
183,606,110
184,607,110
185,608,110
186,609,112
187,610,116
188,610,116
189,611,120
190,612,125
191,613,131
192,614,137
193,615,145
194,615,145
195,616,154
196,617,163
197,618,172
198,618,183
199,619,193
200,619,193
204,684,156
214,785,98
222,832,129
231,860,221
